iter	Passed	Remaining
589	1335	928
590	1337	925
591	1340	923
592	1342	921
593	1344	919
594	1346	916
595	1348	914
596	1351	912
597	1353	909
598	1355	907
599	1357	904
600	1359	902
601	1361	900
602	1363	897
603	1365	895
604	1368	893
605	1370	890
606	1373	889
607	1375	886
608	1377	884
609	1379	882
610	1381	879
611	1384	877
612	1386	875
613	1388	872
614	1390	870
615	1392	868
616	1394	865
617	1397	863
618	1399	861
619	1401	859
620	1403	856
621	1405	854
622	1408	852
623	1410	849
624	1412	847
625	1414	845
626	1417	843
627	1419	840
628	1421	838
629	1423	836
630	1426	833
631	1428	831
632	1430	829
633	1432	826
634	1434	824
635	1436	822
636	1439	820
637	1441	817
638	1443	815
639	1445	813
640	1447	810
641	1449	808
642	1452	806
643	1454	804
644	1456	801
645	1458	799
646	1461	797
647	1463	794
648	1465	792
649	1467	790
650	1469	788
651	1472	785
652	1474	783
653	1476	781
654	1478	778
655	1481	776
656	1483	774
657	1485	772
658	1487	769
659	1489	767
660	1492	765
661	1494	763
662	1496	760
663	1499	758
664	1501	756
665	1503	754
666	1506	751
667	1508	749
668	1510	747
669	1512	745
670	1515	742
671	1517	740
672	1520	738
673	1522	736
674	1524	733
675	1526	731
676	1528	729
677	1531	727
678	1533	725
679	1535	722
680	1538	720
681	1540	718
682	1543	716
683	1545	714
684	1547	711
685	1550	709
686	1552	707
687	1554	705
688	1557	702
689	1559	700
690	1561	698
691	1564	696
692	1567	694
693	1569	692
694	1572	690
695	1574	687
696	1577	685
697	1579	683
698	1581	681
699	1583	678
700	1586	676
701	1588	674
702	1590	672
703	1593	669
704	1595	667
705	1597	665
706	1599	663
707	1602	660
708	1604	658
709	1606	656
710	1609	654
711	1611	652
712	1614	649
713	1616	647
714	1619	645
715	1621	643
716	1623	640
717	1625	638
718	1628	636
719	1630	634
720	1632	631
721	1634	629
722	1637	627
723	1639	625
724	1642	622
725	1644	620
726	1646	618
727	1648	615
728	1650	613
729	1653	611
730	1655	609
731	1657	606
732	1659	604
733	1662	602
734	1664	600
735	1666	597
736	1668	595
737	1671	593
738	1673	591
739	1675	588
740	1678	586
741	1680	584
742	1682	581
743	1684	579
744	1686	577
745	1688	575
746	1691	572
747	1693	570
748	1695	568
749	1697	565
750	1699	563
751	1701	561
752	1704	558
753	1706	556
754	1708	554
755	1710	552
756	1712	549
757	1715	547
758	1717	545
759	1719	543
760	1722	541
761	1724	538
762	1726	536
763	1729	534
764	1731	531
765	1733	529
766	1735	527
767	1738	525
768	1740	522
769	1742	520
770	1745	518
771	1747	516
772	1749	513
773	1752	511
774	1754	509
775	1756	507
776	1759	504
777	1761	502
778	1763	500
779	1765	498
780	1768	495
781	1770	493
782	1772	491
783	1774	488
784	1776	486
785	1779	484
786	1781	482
787	1783	479
788	1785	477
789	1788	475
790	1790	473
791	1792	470
792	1794	468
793	1796	466
794	1799	463
795	1801	461
796	1803	459
797	1805	457
798	1808	455
799	1811	452
800	1814	450
801	1816	448
802	1818	446
803	1821	443
804	1823	441
805	1825	439
806	1827	437
807	1830	434
808	1832	432
809	1834	430
810	1837	428
811	1839	425
812	1842	423
813	1844	421
814	1846	419
815	1848	416
816	1851	414
817	1853	412
818	1855	410
819	1857	407
820	1859	405
821	1862	403
822	1864	400
823	1866	398
824	1868	396
825	1871	394
826	1873	391
827	1875	389
828	1877	387
829	1880	385
830	1882	382
831	1884	380
832	1886	378
833	1888	375
834	1891	373
835	1893	371
836	1895	369
837	1897	366
838	1899	364
839	1902	362
840	1904	360
841	1906	357
842	1908	355
843	1911	353
844	1913	350
845	1915	348
846	1917	346
847	1919	344
848	1922	341
849	1924	339
850	1927	337
851	1929	335
852	1931	332
853	1933	330
854	1935	328
855	1938	326
856	1940	323
857	1943	321
858	1945	319
859	1947	316
860	1949	314
861	1951	312
862	1953	310
863	1956	307
864	1958	305
865	1960	303
866	1962	301
867	1965	298
868	1967	296
869	1969	294
870	1972	292
871	1974	289
872	1976	287
873	1978	285
874	1990	284
875	1993	282
876	1995	279
877	1997	277
878	2000	275
879	2002	273
880	2005	270
881	2008	268
882	2011	266
883	2013	264
884	2015	261
885	2018	259
886	2021	257
887	2023	255
888	2025	252
889	2028	250
890	2030	248
891	2032	246
892	2034	243
893	2037	241
894	2039	239
895	2042	237
896	2044	234
897	2046	232
898	2048	230
899	2051	227
900	2053	225
901	2056	223
902	2058	221
903	2060	218
904	2063	216
905	2065	214
906	2067	212
907	2070	209
908	2072	207
909	2074	205
910	2077	202
911	2079	200
912	2082	198
913	2084	196
914	2086	193
915	2089	191
916	2091	189
917	2093	187
918	2096	184
919	2099	182
920	2101	180
921	2104	178
922	2106	175
923	2108	173
924	2111	171
925	2113	168
926	2116	166
927	2118	164
928	2121	162
929	2123	159
930	2125	157
931	2127	155
932	2130	152
933	2132	150
934	2134	148
935	2136	146
936	2138	143
937	2141	141
938	2143	139
939	2145	136
940	2148	134
941	2150	132
942	2152	130
943	2154	127
944	2156	125
945	2158	123
946	2161	120
947	2163	118
948	2166	116
949	2168	114
950	2170	111
951	2173	109
952	2175	107
953	2177	105
954	2180	102
955	2182	100
956	2185	98
957	2187	95
958	2189	93
959	2192	91
960	2194	89
961	2196	86
962	2198	84
963	2201	82
964	2203	79
965	2206	77
966	2208	75
967	2210	73
968	2212	70
969	2215	68
970	2217	66
971	2219	63
972	2221	61
973	2224	59
974	2226	57
975	2228	54
976	2230	52
977	2233	50
978	2235	47
979	2237	45
980	2240	43
981	2242	41
982	2244	38
983	2246	36
984	2248	34
985	2251	31
986	2253	29
987	2256	27
988	2258	25
989	2260	22
990	2263	20
991	2265	18
992	2267	15
993	2270	13
994	2272	11
995	2274	9
996	2276	6
997	2279	4
998	2281	2
999	2283	0
